ID,Timestamp,Multiplier,Color,Band,Points,Ingest Method
57913,2026-07-28T20:03:25.753+00:00,2.95,rgb(145, 62, 248),base,146.821,file
57908,2026-07-28T20:03:01.299+00:00,3.23,rgb(145, 62, 248),mid,150.746,file
57904,2026-07-28T20:02:36.949+00:00,1.17,rgb(52, 180, 255),dust,106.795,file
57899,2026-07-28T20:02:22.772+00:00,2.75,rgb(145, 62, 248),base,143.783,file
57895,2026-07-28T20:01:59.470+00:00,1.8,rgb(52, 180, 255),low,125.44,file
57891,2026-07-28T20:01:41.227+00:00,1.79,rgb(52, 180, 255),low,125.199,file
57887,2026-07-28T20:01:21.091+00:00,1,rgb(52, 180, 255),dust,100,file
57883,2026-07-28T20:01:08.873+00:00,1.15,rgb(52, 180, 255),dust,106.049,file
57881,2026-07-28T20:00:56.511+00:00,1.57,rgb(52, 180, 255),low,119.523,file
57878,2026-07-28T20:00:39.115+00:00,1.03,rgb(52, 180, 255),dust,101.279,file
57875,2026-07-28T20:00:27.870+00:00,3.34,rgb(145, 62, 248),mid,152.195,file
57870,2026-07-28T20:00:00.621+00:00,47,rgb(192, 23, 180),moonshot,266.638,file
57860,2026-07-28T19:59:02.744+00:00,1,rgb(52, 180, 255),dust,100,file
57858,2026-07-28T19:58:50.655+00:00,67.04,rgb(192, 23, 180),mega,282.009,file
57847,2026-07-28T19:57:49.631+00:00,5.16,rgb(145, 62, 248),high,171.021,file
57841,2026-07-28T19:57:20.343+00:00,1,rgb(52, 180, 255),dust,100,file
57839,2026-07-28T19:57:09.848+00:00,1.1,rgb(52, 180, 255),dust,104.125,file
57837,2026-07-28T19:56:58.693+00:00,1.32,rgb(52, 180, 255),floor,112.016,file
57833,2026-07-28T19:56:43.514+00:00,2.06,rgb(145, 62, 248),base,131.279,file
57829,2026-07-28T19:56:23.385+00:00,1.4,rgb(52, 180, 255),floor,114.563,file
57826,2026-07-28T19:56:08.016+00:00,1.5,rgb(52, 180, 255),low,117.549,file
57822,2026-07-28T19:55:51.644+00:00,1.78,rgb(52, 180, 255),low,124.956,file
57818,2026-07-28T19:55:33.238+00:00,1.4,rgb(52, 180, 255),floor,114.563,file
57815,2026-07-28T19:55:16.604+00:00,2.68,rgb(145, 62, 248),base,142.667,file
57810,2026-07-28T19:54:54.436+00:00,7.83,rgb(145, 62, 248),high,189.07,file
57804,2026-07-28T19:54:19.928+00:00,1.11,rgb(52, 180, 255),dust,104.517,file
57801,2026-07-28T19:54:06.838+00:00,1.13,rgb(52, 180, 255),dust,105.29,file
